car,truck,bus,van
6,0,3,0
6,0,3,0
6,0,3,0
6,0,3,0
6,0,3,0
6,0,3,0
6,0,3,0
7,0,3,0
6,0,3,0
6,0,3,0
7,0,3,0
7,0,3,0
7,0,3,0
7,0,3,0
7,0,4,0
7,0,4,0
8,0,4,0
8,0,4,0
9,0,4,0
9,0,4,0
8,0,4,0
8,0,4,0
7,0,4,0
7,0,3,0
7,0,3,0
7,0,3,0
7,1,3,0
8,1,3,0
8,1,3,0
8,1,3,0
8,1,3,0
8,1,3,0
9,0,3,0
7,0,3,0
7,0,3,0
6,1,3,0
6,1,3,0
6,1,4,0
6,0,5,0
7,0,5,0
7,0,5,0
6,0,5,0
6,0,5,0
6,0,5,0
6,0,5,0
7,0,5,0
7,1,4,0
8,0,4,0
8,0,4,0
8,0,3,0
8,0,3,0
8,0,3,0
8,0,4,0
8,0,4,0
8,1,3,0
8,0,4,0
8,0,4,0
8,1,3,0
8,0,3,0
8,0,3,0
8,0,3,0
8,0,3,0
8,0,3,0
8,0,2,0
9,0,2,0
10,0,2,0
10,0,3,0
10,0,3,0
9,0,3,0
9,0,3,0
9,0,3,0
9,0,3,0
9,0,4,0
9,0,4,0
9,0,4,0
10,0,3,0
9,1,3,0
8,1,2,0
8,1,2,0
8,0,2,0
8,0,2,0
9,0,2,0
9,0,2,0
10,0,2,0
10,0,2,0
9,1,2,0
9,0,2,0
10,0,2,0
11,0,2,0
10,0,2,0
10,0,2,0
11,0,2,0
11,0,2,0
11,0,2,0
11,0,2,0
11,0,3,0
11,0,3,0
11,0,3,0
11,0,3,0
10,0,3,0
10,0,3,0
9,0,3,0
9,0,2,0
11,0,2,0
11,0,2,0
11,0,2,0
11,0,2,0
12,0,2,0
10,0,2,0
9,0,2,0
8,0,1,0
8,1,1,0
9,0,1,0
9,0,1,0
8,1,1,0
7,0,1,0
6,0,1,0
5,0,1,0
6,0,1,0
7,0,1,0
7,0,1,0
6,0,1,0
5,0,2,0
5,0,2,0
5,0,2,0
5,0,2,0
5,0,1,0
5,0,1,0
5,0,2,0
5,0,2,0
5,0,2,0
5,0,2,0
5,0,2,0
5,0,2,0
5,0,3,0
5,0,3,0
4,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,2,0
5,0,2,0
4,0,2,0
5,0,2,0
4,0,2,0
5,0,2,0
4,0,2,0
5,0,2,0
6,0,2,0
6,0,2,0
6,0,2,0
6,0,2,0
6,0,2,0
6,0,2,0
6,0,2,0
6,0,2,0
6,0,3,0
6,0,3,0
6,0,3,0
6,0,3,0
6,0,3,0
5,0,3,0
3,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
4,0,2,0
4,0,2,0
6,0,2,0
6,0,2,0
6,0,3,0
6,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
7,0,3,0
6,0,3,0
6,0,3,0
6,0,3,0
6,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
6,0,3,0
6,0,3,0
6,1,3,0
7,0,4,0
7,0,4,0
8,0,5,0
9,0,5,0
9,0,4,0
9,0,3,0
9,0,3,0
8,0,2,0
7,0,2,0
7,0,2,0
8,0,3,0
10,0,3,0
10,0,3,0
8,0,2,0
7,0,3,0
8,0,3,0
7,0,3,0
7,0,3,0
6,0,3,0
6,0,4,0
6,0,3,0
6,0,3,0
7,0,3,0
7,0,3,0
7,0,3,0
6,0,2,0
6,0,2,0
7,0,2,0
8,0,2,0
8,0,2,0
8,0,2,0
8,0,2,0
7,0,2,0
8,0,2,0
8,0,2,0
8,0,2,0
8,0,2,0
8,0,3,0
8,0,4,0
7,0,3,0
8,0,4,0
8,0,4,0
8,0,4,0
7,0,3,0
8,0,4,0
8,0,3,0
8,0,4,0
9,0,4,0
9,0,4,0
9,0,4,0
9,0,4,0
9,0,5,0
9,0,5,0
9,0,5,0
9,0,5,0
9,0,5,0
9,0,5,0
9,0,5,0
10,0,5,0
10,0,5,0
10,0,5,0
10,0,6,0
9,0,6,0
9,0,6,0
9,1,5,0
9,1,4,0
9,0,4,0
8,0,4,0
9,0,4,0
9,0,4,0
9,0,4,0
9,0,4,0
9,0,3,0
7,0,3,0
6,0,3,0
6,0,3,0
6,0,3,0
5,0,3,0
4,0,2,0
4,0,2,0
4,0,2,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
3,0,3,0
3,0,3,0
3,0,2,0
3,0,2,0
3,0,3,0
3,0,4,0
3,0,4,0
3,0,4,0
3,0,4,0
4,0,4,0
4,0,4,0
3,1,4,0
3,1,4,0
4,0,3,0
3,1,3,0
4,0,3,0
3,1,3,0
3,1,3,0
3,0,3,0
3,0,2,0
4,0,2,0
4,0,2,0
4,0,2,0
4,0,2,0
4,0,2,0
5,0,3,0
5,0,3,0
6,0,3,0
6,0,3,0
5,1,3,0
5,1,3,0
6,1,3,0
6,1,3,0
7,0,3,0
8,0,3,0
9,0,3,0
9,0,3,0
10,0,3,0
9,0,2,0
9,0,2,0
9,0,2,0
9,0,2,0
8,1,2,0
7,1,2,0
9,0,2,0
9,0,2,0
8,0,2,0
10,0,3,0
12,0,4,0
12,0,4,0
12,0,3,0
12,0,3,0
12,0,2,0
11,0,2,0
11,0,3,0
11,0,2,0
9,0,3,0
10,1,3,0
9,1,3,0
8,0,2,0
8,0,2,0
8,1,2,0
7,1,3,0
6,0,3,0
7,0,3,0
6,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,2,0
5,0,2,0
6,0,3,0
6,0,4,0
8,0,4,0
7,0,4,0
8,0,4,0
10,0,4,0
11,0,4,0
11,0,4,0
10,0,4,0
9,0,4,0
10,0,3,0
10,0,3,0
10,0,3,0
9,0,3,0
9,0,3,0
10,0,3,0
10,0,2,0
10,0,2,0
11,0,2,0
11,0,2,0
13,0,2,0
11,0,2,0
11,0,2,0
12,0,1,0
11,0,2,0
10,1,2,0
11,1,2,0
11,1,3,0
12,1,3,0
12,1,3,0
11,1,3,0
12,1,3,0
14,1,2,0
14,1,2,0
12,1,2,0
13,1,2,0
13,1,2,0
11,1,2,0
11,1,2,0
10,1,2,0
10,1,2,0
10,1,2,0
11,1,2,0
11,1,2,0
11,1,2,0
10,2,1,0
10,1,2,0
11,1,2,0
11,1,2,0
9,1,2,0
9,1,2,0
9,1,3,0
8,2,3,0
6,2,4,0
6,2,4,0
6,2,4,0
4,2,4,0
4,2,3,0
5,1,3,0
5,1,4,0
5,1,4,0
5,1,4,0
5,1,3,0
7,1,2,0
6,1,3,0
6,0,4,0
5,0,3,0
5,0,3,0
4,0,3,0
3,0,3,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,2,0
4,0,2,0
4,0,2,0
4,0,2,0
5,0,2,0
4,0,2,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,2,0
4,0,2,0
4,0,2,0
4,0,2,0
4,0,2,0
5,0,2,0
5,0,2,0
6,0,3,0
5,0,3,0
6,0,3,0
5,0,3,0
6,0,3,0
6,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
3,0,3,0
4,0,3,0
5,0,2,0
5,0,2,0
6,0,2,0
6,0,2,0
5,0,2,0
5,0,2,0
5,0,2,0
6,0,2,0
6,0,2,0
6,0,2,0
6,0,2,0
6,0,2,0
6,0,2,0
5,0,2,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
6,0,3,0
6,0,3,0
5,1,3,0
5,0,3,0
6,0,3,0
6,0,3,0
7,0,3,0
8,0,3,0
8,0,3,0
7,0,2,0
6,0,2,0
6,0,2,0
6,0,2,0
6,0,2,0
8,0,2,0
8,0,2,0
9,0,3,0
8,0,3,0
8,0,3,0
7,0,3,0
7,1,2,0
7,0,3,0
7,0,3,0
7,1,2,0
8,1,2,0
9,1,2,0
9,1,2,0
8,1,2,0
8,1,2,0
8,1,2,0
8,0,2,0
8,0,2,0
7,0,2,0
7,0,2,0
7,0,2,0
7,0,2,0
7,0,2,0
7,0,3,0
8,0,3,0
8,0,3,0
8,0,3,0
8,0,3,0
8,0,3,0
9,0,3,0
9,0,3,0
8,0,2,0
8,0,2,0
8,0,2,0
10,0,2,0
11,0,2,0
12,0,2,0
11,0,3,0
9,0,3,0
9,0,3,0
8,0,4,0
8,0,3,0
7,0,3,0
6,0,3,0
6,1,2,0
6,0,3,0
7,0,4,0
6,0,4,0
9,1,3,0
9,0,4,0
9,1,2,0
9,0,3,0
8,0,2,0
10,0,2,0
9,0,3,0
9,0,3,0
9,0,3,0
8,1,3,0
8,2,2,0
7,0,3,0
6,0,3,0
6,0,2,0
4,0,2,0
4,1,2,0
5,0,2,0
4,0,3,0
3,0,4,0
4,0,4,0
5,0,3,0
5,0,3,0
5,0,2,0
4,0,2,0
4,0,2,0
4,0,2,0
4,0,2,0
4,0,2,0
4,0,2,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,3,0
3,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
5,0,2,0
5,0,2,0
5,0,2,0
6,0,2,0
6,0,2,0
6,0,2,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,4,0
4,0,3,0
4,0,3,0
5,0,3,0
5,0,4,0
6,0,4,0
5,0,4,0
6,0,4,0
6,0,4,0
6,0,4,0
6,0,4,0
6,0,4,0
7,0,4,0
6,0,4,0
6,0,4,0
6,0,3,0
7,0,3,0
7,0,3,0
7,0,3,0
7,0,3,0
7,0,4,0
6,0,4,0
6,0,4,0
6,1,3,0
7,0,4,0
6,0,4,0
7,0,4,0
8,0,4,0
8,0,4,0
8,0,4,0
8,0,5,0
8,0,5,0
8,0,5,0
8,0,5,0
7,0,4,0
6,0,6,0
7,0,6,0
7,0,6,0
8,0,6,0
7,0,6,0
7,0,6,0
7,0,5,0
7,0,5,0
7,0,5,0
6,0,5,0
5,0,5,0
5,0,5,0
5,0,5,0
5,0,5,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,2,0
4,0,4,0
4,0,4,0
4,0,3,0
4,0,3,0
4,0,3,0
4,0,3,0
3,0,3,0
3,0,3,0
4,0,3,0
3,0,3,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,2,0
3,0,3,0
4,0,2,0
3,0,4,0
3,0,5,0
3,0,4,0
3,0,4,0
4,0,4,0
4,0,4,0
4,0,4,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
4,0,4,0
4,0,4,0
4,0,4,0
4,0,4,0
4,0,4,0
4,0,4,0
